t,lat,lon,z,TOP_az,TOP_dist,TOP_inc,JDNA_az,JDNA_dist,JDNA_inc,JDNB_az,JDNB_dist,JDNB_inc,JDSA_az,JDSA_dist,JDSA_inc,JDSB_az,JDSB_dist,JDSB_inc,QST_az,QST_dist,QST_inc,CHKB_az,CHKB_dist,CHKB_inc,VPT_az,VPT_dist,VPT_inc
2023-10-06T21:24:40.790000Z,43.122528,-116.782113,1647.0,101.89807457770931,1719.8286726311367,[96.18716591],140.946541895791,449.89535326395685,[91.84407945],126.0849896136442,549.0021433966941,[93.0898133],74.97129810159143,292.6883418797834,[92.78391804],77.53112448286443,490.7098917830213,[97.25848152],195.9056842113433,9488.86663122615,[87.3280267],207.28146501605033,21713.415062257725,[87.98200798],272.5538352489568,2854.5001453033383,[92.99809143]
2023-10-06T21:24:42.540000Z,43.122391,-116.781921,1647.0,102.28263515892736,1738.2977081933873,[96.12193045],140.63730293160367,471.5656489764624,[91.75939129],126.39585121864286,570.602153894509,[92.9730631],78.50272804004126,304.4108806187371,[92.67687137],79.60849865710055,503.01183897638657,[97.08278911],195.78991507387315,9499.248611516072,[87.33094275],207.2264539115561,21719.820785359738,[87.98260264],272.26081011692384,2838.2559183758976,[93.01521887]
2023-10-06T21:24:43.680000Z,43.122362,-116.781921,1647.0,102.38634967220037,1738.9867195287934,[96.11952326],140.88425030325547,474.0610335719248,[91.7501359],126.655368776606,572.5198659207322,[92.96312231],79.09819478596384,303.7852596607664,[92.68237612],79.96987272981556,502.4409433818517,[97.09075501],195.78463612026977,9502.349172452328,[87.33181239],207.22257715768416,21722.687787314753,[87.98286868],272.1958192928063,2838.1319896509126,[93.01535029]
2023-10-06T21:24:45.090000Z,43.122208,-116.781921,1647.0,102.93571344399754,1742.7408383845996,[96.10644062],142.15297902495072,487.4551485090926,[91.70207499],128.00454988767348,582.8962584038129,[92.91046597],82.29755918940052,301.0194715554797,[92.70698549],81.90178582508841,499.7464797340379,[97.12859368],195.75666068063634,9518.815568676891,[87.33642137],207.20200739304414,21737.914220963965,[87.98428043],271.85060592349623,2837.5350854944636,[93.01598343]
2023-10-06T21:24:48.550000Z,43.121841,-116.781794,1647.0,104.1523291001005,1762.3474766229108,[96.03900947],143.9881184477342,526.2626323090907,[91.57662701],130.3986694538979,616.6842789017546,[92.75125416],90.0791357988845,308.6408156422313,[92.64023701],86.64297981258494,505.9694329221678,[97.04180423],195.63071098374198,9555.279912133885,[87.34657142],207.12888143644068,21769.510538833707,[87.98720364],271.0311037533659,2826.1944750828934,[93.02806312]
2023-10-06T21:24:50.010000Z,43.12199,-116.781594,1647.0,103.50536246615879,1774.1902026668142,[95.998994],141.4785365899764,522.9428070085249,[91.58663089],128.25417542459545,618.7828595067383,[92.74193764],87.15837680826405,325.31567858253294,[92.50508216],84.93803416810815,523.4172778857187,[96.80931078],195.56327993605393,9534.964414499907,[87.34092605],207.11051975297656,21747.368028015513,[87.98515596],271.37437494909545,2810.262555086321,[93.04519758]
2023-10-06T21:24:50.430000Z,43.122025,-116.781538,1639.0,103.34917644725509,1777.7187464962703,[96.24208701],140.822332300343,522.7729637024423,[92.46283214],127.71121766889469,619.9814923216479,[93.47378738],86.52342940859614,330.0801818957306,[93.85332837],84.56155095224071,528.3109709058666,[97.6008808],195.54314661518202,9529.99777477125,[87.38753767],207.10447796858477,21741.833587271594,[88.00569992],271.4559482146788,2805.8010783678014,[93.21290674]
2023-10-06T21:24:51.840000Z,43.122455,-116.781594,1593.0,101.87263182265218,1762.8288958886828,[97.76700557],137.66404242492973,483.59570946835856,[98.06041305],124.29969590086986,588.1954986601608,[98.09258943],78.21538302047209,331.90909983785986,[101.61678654],79.3713515727478,530.4731218807492,[102.38639129],195.6468908945492,9485.204185777277,[87.6525592],207.17249735279825,21701.3631282389,[88.12329381],272.4267389414316,2811.9546341852906,[94.13930985]
2023-10-06T21:24:52.320000Z,43.12262,-116.781602,1578.0,101.29254699924215,1758.5061187319336,[98.26506651],136.21692221200402,469.75630749045933,[100.0773782],122.83366082453618,577.5159260960979,[99.69213355],75.12669068714423,335.50204501685494,[103.93284538],77.42326697083769,533.5211954428527,[103.84603599],195.68056421297786,9467.727919408015,[87.73885932],207.19608372295272,21685.341623055512,[88.16149873],272.79916334717876,2813.43313862727,[94.44090896]
2023-10-06T21:24:52.770000Z,43.122781,-116.781594,1555.0,100.71600501686504,1755.726490012189,[99.0115765],134.60788861870597,457.47325526889955,[103.10328372],121.28347872364385,568.5719503584198,[102.0753083],72.25017675563127,341.15139885245094,[107.29627536],75.57998902243794,538.3285282527297,[106.01345077],195.70603342078832,9450.330669906065,[87.8739415],207.21610520556442,21669.12542460214,[88.22087796],273.16360135372884,2813.705914691324,[94.90572022]
